workflow_path,workflow_file_id,workflow_name,category,product_visible,mode_id,mode_label,applicable,inputs,required_inputs,input_types,expected_execution_path,expected_output,node_types,external_or_service_dependencies,relevant_ui_screens,static_preflight,preflight_valid,preflight_node_count,preflight_error_count,preflight_warning_count,preflight_issue_codes,happy_path,invalid_input,boundary,repeat_execution,retry_recovery,refresh_persistence,ui,performance,result,reason
workflows/.builder/versions/call_documents_to_pdf1/20260802T191521336696Z-5b69a306e173.yaml,20260802T191521336696Z-5b69a306e173,Call Documents to PDF,builder_version,False,studio,Workflow Studio,False,"[""call_documents"", ""document_title"", ""organisation""]",[],"{""call_documents"": ""file"", ""document_title"": ""text"", ""organisation"": ""text""}",declared graph with 2 edge records,[],"[""HorizonHTMLProposalRenderer"", ""TransformAgent"", ""WorkflowFileLoader""]","[""WorkflowFileLoader""]",[],FAIL,False,3,1,0,"[""TEMPLATE_STATICALLY_EMPTY_FIELD""]",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Repository support/reference fixture; not listed by the product workflow library.
workflows/.builder/versions/call_documents_to_pdf1/20260802T191521336696Z-5b69a306e173.yaml,20260802T191521336696Z-5b69a306e173,Call Documents to PDF,builder_version,False,knowledge,Knowledge Studio,False,"[""call_documents"", ""document_title"", ""organisation""]",[],"{""call_documents"": ""file"", ""document_title"": ""text"", ""organisation"": ""text""}",declared graph with 2 edge records,[],"[""HorizonHTMLProposalRenderer"", ""TransformAgent"", ""WorkflowFileLoader""]","[""WorkflowFileLoader""]",[],FAIL,False,3,1,0,"[""TEMPLATE_STATICALLY_EMPTY_FIELD""]",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,This top-level product mode does not execute workflows.
workflows/.builder/versions/call_documents_to_pdf1/20260802T191521336696Z-5b69a306e173.yaml,20260802T191521336696Z-5b69a306e173,Call Documents to PDF,builder_version,False,eval,Evaluation Lab,False,"[""call_documents"", ""document_title"", ""organisation""]",[],"{""call_documents"": ""file"", ""document_title"": ""text"", ""organisation"": ""text""}",declared graph with 2 edge records,[],"[""HorizonHTMLProposalRenderer"", ""TransformAgent"", ""WorkflowFileLoader""]","[""WorkflowFileLoader""]",[],FAIL,False,3,1,0,"[""TEMPLATE_STATICALLY_EMPTY_FIELD""]",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,This top-level product mode does not execute workflows.
workflows/.builder/versions/call_documents_to_pdf1/20260802T191521336696Z-5b69a306e173.yaml,20260802T191521336696Z-5b69a306e173,Call Documents to PDF,builder_version,False,cost,Cost Management,False,"[""call_documents"", ""document_title"", ""organisation""]",[],"{""call_documents"": ""file"", ""document_title"": ""text"", ""organisation"": ""text""}",declared graph with 2 edge records,[],"[""HorizonHTMLProposalRenderer"", ""TransformAgent"", ""WorkflowFileLoader""]","[""WorkflowFileLoader""]",[],FAIL,False,3,1,0,"[""TEMPLATE_STATICALLY_EMPTY_FIELD""]",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,This top-level product mode does not execute workflows.
workflows/.builder/versions/concept_note_to_10-page_methodology_section1/20260804T071107986136Z-35111c665643.yaml,20260804T071107986136Z-35111c665643,Concept Note to 10-Page Methodology Section,builder_version,False,studio,Workflow Studio,False,"[""files""]",[],"{""files"": ""file""}",declared graph with 18 edge records,[],"[""BoundedDeepResearchAgent"", ""DynamicFigureAgent"", ""Echo"", ""GraphNormalizer"", ""HorizonDOCXProposalRenderer"", ""ScientificResearchPlannerAgent"", ""TextAssemblerAgent"", ""TransformAgent"", ""WorkflowFileLoader""]","[""BoundedDeepResearchAgent"", ""WorkflowFileLoader""]",[],PASS,True,14,0,0,[],NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Repository support/reference fixture; not listed by the product workflow library.
workflows/.builder/versions/concept_note_to_10-page_methodology_section1/20260804T071107986136Z-35111c665643.yaml,20260804T071107986136Z-35111c665643,Concept Note to 10-Page Methodology Section,builder_version,False,knowledge,Knowledge Studio,False,"[""files""]",[],"{""files"": ""file""}",declared graph with 18 edge records,[],"[""BoundedDeepResearchAgent"", ""DynamicFigureAgent"", ""Echo"", ""GraphNormalizer"", ""HorizonDOCXProposalRenderer"", ""ScientificResearchPlannerAgent"", ""TextAssemblerAgent"", ""TransformAgent"", ""WorkflowFileLoader""]","[""BoundedDeepResearchAgent"", ""WorkflowFileLoader""]",[],PASS,True,14,0,0,[],NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,This top-level product mode does not execute workflows.
workflows/.builder/versions/concept_note_to_10-page_methodology_section1/20260804T071107986136Z-35111c665643.yaml,20260804T071107986136Z-35111c665643,Concept Note to 10-Page Methodology Section,builder_version,False,eval,Evaluation Lab,False,"[""files""]",[],"{""files"": ""file""}",declared graph with 18 edge records,[],"[""BoundedDeepResearchAgent"", ""DynamicFigureAgent"", ""Echo"", ""GraphNormalizer"", ""HorizonDOCXProposalRenderer"", ""ScientificResearchPlannerAgent"", ""TextAssemblerAgent"", ""TransformAgent"", ""WorkflowFileLoader""]","[""BoundedDeepResearchAgent"", ""WorkflowFileLoader""]",[],PASS,True,14,0,0,[],NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,This top-level product mode does not execute workflows.
workflows/.builder/versions/concept_note_to_10-page_methodology_section1/20260804T071107986136Z-35111c665643.yaml,20260804T071107986136Z-35111c665643,Concept Note to 10-Page Methodology Section,builder_version,False,cost,Cost Management,False,"[""files""]",[],"{""files"": ""file""}",declared graph with 18 edge records,[],"[""BoundedDeepResearchAgent"", ""DynamicFigureAgent"", ""Echo"", ""GraphNormalizer"", ""HorizonDOCXProposalRenderer"", ""ScientificResearchPlannerAgent"", ""TextAssemblerAgent"", ""TransformAgent"", ""WorkflowFileLoader""]","[""BoundedDeepResearchAgent"", ""WorkflowFileLoader""]",[],PASS,True,14,0,0,[],NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,This top-level product mode does not execute workflows.
workflows/.builder/versions/concept_note_to_10-page_methodology_section1/20260804T071302223800Z-1cd23bfe8958.yaml,20260804T071302223800Z-1cd23bfe8958,Concept Note to 10-Page Methodology Section,builder_version,False,studio,Workflow Studio,False,"[""files""]",[],"{""files"": ""file""}",declared graph with 18 edge records,[],"[""BoundedDeepResearchAgent"", ""DynamicFigureAgent"", ""Echo"", ""GraphNormalizer"", ""HorizonDOCXProposalRenderer"", ""ScientificResearchPlannerAgent"", ""TextAssemblerAgent"", ""TransformAgent"", ""WorkflowFileLoader""]","[""BoundedDeepResearchAgent"", ""WorkflowFileLoader""]",[],PASS,True,14,0,0,[],NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Repository support/reference fixture; not listed by the product workflow library.
workflows/.builder/versions/concept_note_to_10-page_methodology_section1/20260804T071302223800Z-1cd23bfe8958.yaml,20260804T071302223800Z-1cd23bfe8958,Concept Note to 10-Page Methodology Section,builder_version,False,knowledge,Knowledge Studio,False,"[""files""]",[],"{""files"": ""file""}",declared graph with 18 edge records,[],"[""BoundedDeepResearchAgent"", ""DynamicFigureAgent"", ""Echo"", ""GraphNormalizer"", ""HorizonDOCXProposalRenderer"", ""ScientificResearchPlannerAgent"", ""TextAssemblerAgent"", ""TransformAgent"", ""WorkflowFileLoader""]","[""BoundedDeepResearchAgent"", ""WorkflowFileLoader""]",[],PASS,True,14,0,0,[],NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,This top-level product mode does not execute workflows.
